name,kind,description,feature,effect,weight,confidence,frozen,evidence_count
peptide_like_out_of_domain,soft,Peptide-like ChEMBL molecules are poor monomer hypotheses.,peptide_like_risk,-1.0,0.75,0.8,False,0
peg_like_penalty,soft,PEG-like segments are a strong low-Tg risk.,peg_like_risk,-1.0,0.75,0.7026280211983765,False,61
aromatic_backbones_raise_tg,soft,Aromatic backbones tend to raise Tg.,aromatic_backbone,1.0,0.55,0.7,False,1500
imide_anhydride_networks_raise_tg,soft,Imide or anhydride-derived networks often provide high Tg.,imide_or_anhydride,1.0,0.85,0.6983654136506949,False,823
flexible_ether_penalty,soft,Long flexible ether segments can lower Tg.,flexible_ether_risk,-1.0,0.55,0.6567763087747635,False,53
multi_aromatic_rigidity,soft,Multiple aromatic rings increase chain rigidity.,rigid_multi_aromatic,1.0,0.65,0.65,False,1500
formal_charge_practical_penalty,soft,Charged molecules are lower-priority thermoset monomer hypotheses unless specifically justified.,formal_charge_practical_risk,-1.0,0.45,0.626871778948327,False,10
too_flexible_penalty,soft,High rotatable-bond count increases flexibility risk.,too_flexible_risk,-1.0,0.45,0.6249217170183953,False,131
druglike_hetero_complexity_penalty,soft,High HBA/HBD complexity is a risk for out-of-library monomer transfer.,druglike_hetero_complexity_risk,-1.0,0.5,0.6225907327035279,False,42
high_functionality_crosslink_density,soft,Higher reactive functionality can increase crosslink density.,high_functionality,1.0,0.55,0.62,False,1500
heavy_halogen_practical_risk,soft,Iodinated or brominated drug-like structures are lower-priority monomer hypotheses.,heavy_halogen_risk,-1.0,0.4,0.6138663981896098,False,44
stereochemical_complexity_penalty,soft,Many stereocenters often indicate bioactive-molecule complexity rather than monomer suitability.,stereochemical_complexity_risk,-1.0,0.4,0.6070473501413992,False,610
cyanate_ester_triazine,soft,Cyanate ester triazine networks can be high Tg.,cyanate_ester,1.0,0.9,0.6058963495731851,False,90
long_aliphatic_penalty,soft,Long aliphatic segments usually lower Tg.,long_aliphatic_risk,-1.0,0.45,0.6008788889435095,False,135
maleimide_rigid_network,soft,Bismaleimide motifs can create rigid high-Tg networks.,maleimide,1.0,0.75,0.5797842853118781,False,347
reaction_a67f85420c33,soft,Reaction principle: 异氰酸酯-仲胺形成脲键。,reaction::异氰酸酯-仲胺形成脲键。,1.0,0.42,0.5648196985461523,False,37
reaction_536dfe22d324,soft,Reaction principle: 氰酸酯-胺共反应。,reaction::氰酸酯-胺共反应。,1.0,0.42,0.5643387801800478,False,44
reaction_5cde50869441,soft,Reaction principle: 环氧-仲胺开环固化。,reaction::环氧-仲胺开环固化。,1.0,0.42,0.5631162184446906,False,218
reaction_michael,soft,Reaction principle: 马来酰亚胺-胺 Michael 加成。,reaction::马来酰亚胺-胺 Michael 加成。,1.0,0.42,0.5590598907336176,False,212
