generation_id,strategy,stage,target_tg_c,target_window_c,candidate_smiles,candidate_ratios,source_context,generator_id,generation_time,prompt_id,prompt_text,prompt_hash,rag_query,rag_context_refs,rag_context_digest,principle_hypothesis,functional_group_plan,candidate_json,compatibility_reasons,predicted_tg_mean_c,predicted_tg_sigma_c,ood_penalty,pievo_round,selected_by_ids,harness_failure_reason,review_status,notes,required_fields_present,strategy_allowed,valid_smiles,ratio_ok,prediction_available,target_distance_c,target_ok,chemistry_ok,harness_pass,generation_reward,record_pass
functional_group_replacement_b501e07b5be2,functional_group_replacement,predicted,250.0,5.0,CC(C)(c1ccc(N)cc1)c1ccc(N)cc1|O=C1C=CN(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,0.75000:0.25000,sparse_target_replacement_expansion_target_250,sparse_target_replacement_expansion,2026-06-06,functional_group_replacement_proposal_eval_bridge,"Generate an auditable SMP formulation with strategy=functional_group_replacement, target_tg_c=250, target_window_c=5; proposal must retain chemistry evidence and pass predictor/Harness before recommendation.",58480179ea9acd02,,trail/generation/generation_strategy_registry.yaml|reports/human_experiment_review_queue.md,proposal evaluation bridge; records scored replacement/local-search proposals after predictor and Harness.,preserve_complementary_reactive_pair,马来酰亚胺-胺 Michael 加成。,"{""chemistry_ok"": true, ""counterpart_compatibility_reason"": ""马来酰亚胺-胺 Michael 加成。"", ""feedback_constraint"": ""preserve_complementary_reactive_pair"", ""formula_id"": 0, ""harness_pass"": false, ""original_smiles"": ""CC(C)(c1ccc(N)cc1)c1ccc(C(C)(C)c2ccc(N)cc2)cc1"", ""proposal_index"": 0, ""replace_side"": ""a"", ""replacement_label"": ""generated_diamine_bisphenol_a_core"", ""replacement_smiles"": ""CC(C)(c1ccc(N)cc1)c1ccc(N)cc1"", ""replacement_source"": ""generated"", ""replacement_tanimoto"": 1.0, ""source_candidate_tg_c"": 249.9924786489565, ""source_row_index"": 0, ""source_target_distance_c"": 0.0075213510434934, ""target_ok"": false}",马来酰亚胺-胺 Michael 加成。,397.6179477524838,64.10125730328816,1.4829492568969729,,False,target_out_of_window,rejected_by_harness,"Imported from scored proposal eval; source_context=sparse_target_replacement_expansion_target_250; surrogate evidence only, not real DSC.",True,True,True,True,True,147.61794775248381,False,True,False,1.5068428865342432e-13,True
functional_group_replacement_9b7e8464e5ca,functional_group_replacement,predicted,250.0,5.0,CC(c1ccc(Oc2ccc(N)cc2)cc1)(c1ccc(Oc2ccc(N)cc2)cc1)c1ccc(Oc2ccc(N)cc2)cc1|O=C1C=CN(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,0.75000:0.25000,sparse_target_replacement_expansion_target_250,sparse_target_replacement_expansion,2026-06-06,functional_group_replacement_proposal_eval_bridge,"Generate an auditable SMP formulation with strategy=functional_group_replacement, target_tg_c=250, target_window_c=5; proposal must retain chemistry evidence and pass predictor/Harness before recommendation.",58480179ea9acd02,,trail/generation/generation_strategy_registry.yaml|reports/human_experiment_review_queue.md,proposal evaluation bridge; records scored replacement/local-search proposals after predictor and Harness.,preserve_complementary_reactive_pair,马来酰亚胺-胺 Michael 加成。,"{""chemistry_ok"": true, ""counterpart_compatibility_reason"": ""马来酰亚胺-胺 Michael 加成。"", ""feedback_constraint"": ""preserve_complementary_reactive_pair"", ""formula_id"": 1, ""harness_pass"": false, ""original_smiles"": ""CC(C)(c1ccc(N)cc1)c1ccc(C(C)(C)c2ccc(N)cc2)cc1"", ""proposal_index"": 1, ""replace_side"": ""a"", ""replacement_label"": ""library_147"", ""replacement_smiles"": ""CC(c1ccc(Oc2ccc(N)cc2)cc1)(c1ccc(Oc2ccc(N)cc2)cc1)c1ccc(Oc2ccc(N)cc2)cc1"", ""replacement_source"": ""library"", ""replacement_tanimoto"": 0.52, ""source_candidate_tg_c"": 249.9924786489565, ""source_row_index"": 1, ""source_target_distance_c"": 0.0075213510434934, ""target_ok"": false}",马来酰亚胺-胺 Michael 加成。,276.8810471653124,96.18697574494904,4.863859176635742,,False,target_out_of_window,rejected_by_harness,"Imported from scored proposal eval; source_context=sparse_target_replacement_expansion_target_250; surrogate evidence only, not real DSC.",True,True,True,True,True,26.881047165312395,False,True,False,0.004625321332830282,True
functional_group_replacement_a8244d974742,functional_group_replacement,predicted,250.0,5.0,Nc1ccc(N)cc1|O=C1C=CN(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,0.75000:0.25000,sparse_target_replacement_expansion_target_250,sparse_target_replacement_expansion,2026-06-06,functional_group_replacement_proposal_eval_bridge,"Generate an auditable SMP formulation with strategy=functional_group_replacement, target_tg_c=250, target_window_c=5; proposal must retain chemistry evidence and pass predictor/Harness before recommendation.",58480179ea9acd02,,trail/generation/generation_strategy_registry.yaml|reports/human_experiment_review_queue.md,proposal evaluation bridge; records scored replacement/local-search proposals after predictor and Harness.,preserve_complementary_reactive_pair,马来酰亚胺-胺 Michael 加成。,"{""chemistry_ok"": true, ""counterpart_compatibility_reason"": ""马来酰亚胺-胺 Michael 加成。"", ""feedback_constraint"": ""preserve_complementary_reactive_pair"", ""formula_id"": 2, ""harness_pass"": false, ""original_smiles"": ""CC(C)(c1ccc(N)cc1)c1ccc(C(C)(C)c2ccc(N)cc2)cc1"", ""proposal_index"": 2, ""replace_side"": ""a"", ""replacement_label"": ""library_217"", ""replacement_smiles"": ""Nc1ccc(N)cc1"", ""replacement_source"": ""library"", ""replacement_tanimoto"": 0.5, ""source_candidate_tg_c"": 249.9924786489565, ""source_row_index"": 2, ""source_target_distance_c"": 0.0075213510434934, ""target_ok"": false}",马来酰亚胺-胺 Michael 加成。,226.3935116361317,56.46242060255103,2.0237185955047607,,False,target_out_of_window,rejected_by_harness,"Imported from scored proposal eval; source_context=sparse_target_replacement_expansion_target_250; surrogate evidence only, not real DSC.",True,True,True,True,True,23.606488363868294,False,True,False,0.00890361706709713,True
functional_group_replacement_f79c657db27b,functional_group_replacement,predicted,250.0,5.0,Nc1ccc(C(c2ccc(N)cc2)(C(F)(F)F)C(F)(F)F)cc1|O=C1C=CN(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,0.75000:0.25000,sparse_target_replacement_expansion_target_250,sparse_target_replacement_expansion,2026-06-06,functional_group_replacement_proposal_eval_bridge,"Generate an auditable SMP formulation with strategy=functional_group_replacement, target_tg_c=250, target_window_c=5; proposal must retain chemistry evidence and pass predictor/Harness before recommendation.",58480179ea9acd02,,trail/generation/generation_strategy_registry.yaml|reports/human_experiment_review_queue.md,proposal evaluation bridge; records scored replacement/local-search proposals after predictor and Harness.,preserve_complementary_reactive_pair,马来酰亚胺-胺 Michael 加成。,"{""chemistry_ok"": true, ""counterpart_compatibility_reason"": ""马来酰亚胺-胺 Michael 加成。"", ""feedback_constraint"": ""preserve_complementary_reactive_pair"", ""formula_id"": 3, ""harness_pass"": false, ""original_smiles"": ""CC(C)(c1ccc(N)cc1)c1ccc(C(C)(C)c2ccc(N)cc2)cc1"", ""proposal_index"": 3, ""replace_side"": ""a"", ""replacement_label"": ""generated_diamine_fluorinated_core"", ""replacement_smiles"": ""Nc1ccc(C(c2ccc(N)cc2)(C(F)(F)F)C(F)(F)F)cc1"", ""replacement_source"": ""generated"", ""replacement_tanimoto"": 0.4782608695652174, ""source_candidate_tg_c"": 249.9924786489565, ""source_row_index"": 3, ""source_target_distance_c"": 0.0075213510434934, ""target_ok"": false}",马来酰亚胺-胺 Michael 加成。,176.26880470846382,120.77248088248108,5.055583477020264,,False,target_out_of_window,rejected_by_harness,"Imported from scored proposal eval; source_context=sparse_target_replacement_expansion_target_250; surrogate evidence only, not real DSC.",True,True,True,True,True,73.73119529153618,False,True,False,3.942663825302016e-07,True
functional_group_replacement_153372824c27,functional_group_replacement,predicted,250.0,5.0,CC(C)(c1ccc(N)cc1)c1ccc(C(C)(C)c2ccc(N)cc2)cc1|O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,0.75000:0.25000,sparse_target_replacement_expansion_target_250,sparse_target_replacement_expansion,2026-06-06,functional_group_replacement_proposal_eval_bridge,"Generate an auditable SMP formulation with strategy=functional_group_replacement, target_tg_c=250, target_window_c=5; proposal must retain chemistry evidence and pass predictor/Harness before recommendation.",58480179ea9acd02,,trail/generation/generation_strategy_registry.yaml|reports/human_experiment_review_queue.md,proposal evaluation bridge; records scored replacement/local-search proposals after predictor and Harness.,preserve_complementary_reactive_pair,马来酰亚胺-胺 Michael 加成。,"{""chemistry_ok"": true, ""counterpart_compatibility_reason"": ""马来酰亚胺-胺 Michael 加成。"", ""feedback_constraint"": ""preserve_complementary_reactive_pair"", ""formula_id"": 4, ""harness_pass"": false, ""original_smiles"": ""O=C1C=CN(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O"", ""proposal_index"": 4, ""replace_side"": ""b"", ""replacement_label"": ""library_215"", ""replacement_smiles"": ""O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O"", ""replacement_source"": ""library"", ""replacement_tanimoto"": 0.7058823529411765, ""source_candidate_tg_c"": 249.9924786489565, ""source_row_index"": 4, ""source_target_distance_c"": 0.0075213510434934, ""target_ok"": false}",马来酰亚胺-胺 Michael 加成。,281.7889131798865,95.82409702695824,2.877622127532959,,False,target_out_of_window,rejected_by_harness,"Imported from scored proposal eval; source_context=sparse_target_replacement_expansion_target_250; surrogate evidence only, not real DSC.",True,True,True,True,True,31.788913179886492,False,True,False,0.0017332056019215534,True
functional_group_replacement_eb4170b46d36,functional_group_replacement,harnessed,250.0,5.0,CC(C)(c1ccc(N)cc1)c1ccc(C(C)(C)c2ccc(N)cc2)cc1|O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1,0.75000:0.25000,sparse_target_replacement_expansion_target_250,sparse_target_replacement_expansion,2026-06-06,functional_group_replacement_proposal_eval_bridge,"Generate an auditable SMP formulation with strategy=functional_group_replacement, target_tg_c=250, target_window_c=5; proposal must retain chemistry evidence and pass predictor/Harness before recommendation.",58480179ea9acd02,,trail/generation/generation_strategy_registry.yaml|reports/human_experiment_review_queue.md,proposal evaluation bridge; records scored replacement/local-search proposals after predictor and Harness.,preserve_complementary_reactive_pair,马来酰亚胺-胺 Michael 加成。,"{""chemistry_ok"": true, ""counterpart_compatibility_reason"": ""马来酰亚胺-胺 Michael 加成。"", ""feedback_constraint"": ""preserve_complementary_reactive_pair"", ""formula_id"": 5, ""harness_pass"": true, ""original_smiles"": ""O=C1C=CN(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O"", ""proposal_index"": 5, ""replace_side"": ""b"", ""replacement_label"": ""library_159"", ""replacement_smiles"": ""O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1"", ""replacement_source"": ""library"", ""replacement_tanimoto"": 0.6774193548387096, ""source_candidate_tg_c"": 249.9924786489565, ""source_row_index"": 5, ""source_target_distance_c"": 0.0075213510434934, ""target_ok"": true}",马来酰亚胺-胺 Michael 加成。,253.9982039946136,106.22505898715067,2.551306962966919,,False,,needs_review,"Imported from scored proposal eval; source_context=sparse_target_replacement_expansion_target_250; surrogate evidence only, not real DSC.",True,True,True,True,True,3.99820399461359,True,True,True,0.44949039255608536,True
functional_group_replacement_4f9ace054102,functional_group_replacement,predicted,250.0,5.0,CC(C)(c1ccc(N)cc1)c1ccc(C(C)(C)c2ccc(N)cc2)cc1|O=C1C=CC(=O)N1c1ccc(N2C(=O)C=CC2=O)cc1,0.75000:0.25000,sparse_target_replacement_expansion_target_250,sparse_target_replacement_expansion,2026-06-06,functional_group_replacement_proposal_eval_bridge,"Generate an auditable SMP formulation with strategy=functional_group_replacement, target_tg_c=250, target_window_c=5; proposal must retain chemistry evidence and pass predictor/Harness before recommendation.",58480179ea9acd02,,trail/generation/generation_strategy_registry.yaml|reports/human_experiment_review_queue.md,proposal evaluation bridge; records scored replacement/local-search proposals after predictor and Harness.,preserve_complementary_reactive_pair,马来酰亚胺-胺 Michael 加成。,"{""chemistry_ok"": true, ""counterpart_compatibility_reason"": ""马来酰亚胺-胺 Michael 加成。"", ""feedback_constraint"": ""preserve_complementary_reactive_pair"", ""formula_id"": 6, ""harness_pass"": false, ""original_smiles"": ""O=C1C=CN(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O"", ""proposal_index"": 6, ""replace_side"": ""b"", ""replacement_label"": ""template_bismaleimide_phenylene_para"", ""replacement_smiles"": ""O=C1C=CC(=O)N1c1ccc(N2C(=O)C=CC2=O)cc1"", ""replacement_source"": ""literature_template"", ""replacement_tanimoto"": 0.4838709677419355, ""source_candidate_tg_c"": 249.9924786489565, ""source_row_index"": 6, ""source_target_distance_c"": 0.0075213510434934, ""target_ok"": false}",马来酰亚胺-胺 Michael 加成。,227.1918062184861,97.41864777014251,4.554873943328857,,False,target_out_of_window,rejected_by_harness,"Imported from scored proposal eval; source_context=sparse_target_replacement_expansion_target_250; surrogate evidence only, not real DSC.",True,True,True,True,True,22.808193781513893,False,True,False,0.01044492821876846,True
functional_group_replacement_74801a2918d5,functional_group_replacement,predicted,250.0,5.0,CC(C)(c1ccc(N)cc1)c1ccc(C(C)(C)c2ccc(N)cc2)cc1|O=C1C=CC(=O)N1c1ccc(Oc2ccc(N3C(=O)C=CC3=O)cc2)cc1,0.75000:0.25000,sparse_target_replacement_expansion_target_250,sparse_target_replacement_expansion,2026-06-06,functional_group_replacement_proposal_eval_bridge,"Generate an auditable SMP formulation with strategy=functional_group_replacement, target_tg_c=250, target_window_c=5; proposal must retain chemistry evidence and pass predictor/Harness before recommendation.",58480179ea9acd02,,trail/generation/generation_strategy_registry.yaml|reports/human_experiment_review_queue.md,proposal evaluation bridge; records scored replacement/local-search proposals after predictor and Harness.,preserve_complementary_reactive_pair,马来酰亚胺-胺 Michael 加成。,"{""chemistry_ok"": true, ""counterpart_compatibility_reason"": ""马来酰亚胺-胺 Michael 加成。"", ""feedback_constraint"": ""preserve_complementary_reactive_pair"", ""formula_id"": 7, ""harness_pass"": false, ""original_smiles"": ""O=C1C=CN(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O"", ""proposal_index"": 7, ""replace_side"": ""b"", ""replacement_label"": ""generated_bismaleimide_oda"", ""replacement_smiles"": ""O=C1C=CC(=O)N1c1ccc(Oc2ccc(N3C(=O)C=CC3=O)cc2)cc1"", ""replacement_source"": ""generated"", ""replacement_tanimoto"": 0.4054054054054054, ""source_candidate_tg_c"": 249.9924786489565, ""source_row_index"": 7, ""source_target_distance_c"": 0.0075213510434934, ""target_ok"": false}",马来酰亚胺-胺 Michael 加成。,255.8882758306178,104.07473011283084,2.570875644683838,,False,target_out_of_window,rejected_by_harness,"Imported from scored proposal eval; source_context=sparse_target_replacement_expansion_target_250; surrogate evidence only, not real DSC.",True,True,True,True,True,5.8882758306178005,False,True,False,0.3080001016045975,True
functional_group_replacement_65a5d1963b9e,functional_group_replacement,harnessed,250.0,5.0,COc1ccc(OCC2CO2)c(CCCC(=O)OCCCCOC(=O)CCc2ccc(OCC3CO3)c(OC)c2)c1|Nc1ccc(-c2nc3ccc(N)cc3[nH]2)cc1,0.25000:0.75000,sparse_target_replacement_expansion_target_250,sparse_target_replacement_expansion,2026-06-06,functional_group_replacement_proposal_eval_bridge,"Generate an auditable SMP formulation with strategy=functional_group_replacement, target_tg_c=250, target_window_c=5; proposal must retain chemistry evidence and pass predictor/Harness before recommendation.",58480179ea9acd02,,trail/generation/generation_strategy_registry.yaml|reports/human_experiment_review_queue.md,proposal evaluation bridge; records scored replacement/local-search proposals after predictor and Harness.,preserve_complementary_reactive_pair,环氧-伯胺开环固化。,"{""chemistry_ok"": true, ""counterpart_compatibility_reason"": ""环氧-伯胺开环固化。"", ""feedback_constraint"": ""preserve_complementary_reactive_pair"", ""formula_id"": 8, ""harness_pass"": true, ""original_smiles"": ""COc1ccc(OCC2CO2)c(CCC(=O)OCCCCOC(=O)CCc2ccc(OCC3CO3)c(OC)c2)c1"", ""proposal_index"": 8, ""replace_side"": ""a"", ""replacement_label"": ""library_131"", ""replacement_smiles"": ""COc1ccc(OCC2CO2)c(CCCC(=O)OCCCCOC(=O)CCc2ccc(OCC3CO3)c(OC)c2)c1"", ""replacement_source"": ""library"", ""replacement_tanimoto"": 0.9298245614035088, ""source_candidate_tg_c"": 250.0078410558882, ""source_row_index"": 8, ""source_target_distance_c"": 0.0078410558882069, ""target_ok"": true}",环氧-伯胺开环固化。,249.4053290851912,73.69969771454676,2.498689651489258,,False,,needs_review,"Imported from scored proposal eval; source_context=sparse_target_replacement_expansion_target_250; surrogate evidence only, not real DSC.",True,True,True,True,True,0.5946709148088019,True,True,True,0.887866235564904,True
functional_group_replacement_353aea14fa0d,functional_group_replacement,predicted,250.0,5.0,COc1ccc(OCC2CO2)c(CCCC(=O)OCCCCCCOC(=O)CCc2ccc(OCC3CO3)c(OC)c2)c1|Nc1ccc(-c2nc3ccc(N)cc3[nH]2)cc1,0.25000:0.75000,sparse_target_replacement_expansion_target_250,sparse_target_replacement_expansion,2026-06-06,functional_group_replacement_proposal_eval_bridge,"Generate an auditable SMP formulation with strategy=functional_group_replacement, target_tg_c=250, target_window_c=5; proposal must retain chemistry evidence and pass predictor/Harness before recommendation.",58480179ea9acd02,,trail/generation/generation_strategy_registry.yaml|reports/human_experiment_review_queue.md,proposal evaluation bridge; records scored replacement/local-search proposals after predictor and Harness.,preserve_complementary_reactive_pair,环氧-伯胺开环固化。,"{""chemistry_ok"": true, ""counterpart_compatibility_reason"": ""环氧-伯胺开环固化。"", ""feedback_constraint"": ""preserve_complementary_reactive_pair"", ""formula_id"": 9, ""harness_pass"": false, ""original_smiles"": ""COc1ccc(OCC2CO2)c(CCC(=O)OCCCCOC(=O)CCc2ccc(OCC3CO3)c(OC)c2)c1"", ""proposal_index"": 9, ""replace_side"": ""a"", ""replacement_label"": ""library_132"", ""replacement_smiles"": ""COc1ccc(OCC2CO2)c(CCCC(=O)OCCCCCCOC(=O)CCc2ccc(OCC3CO3)c(OC)c2)c1"", ""replacement_source"": ""library"", ""replacement_tanimoto"": 0.913793103448276, ""source_candidate_tg_c"": 250.0078410558882, ""source_row_index"": 9, ""source_target_distance_c"": 0.0078410558882069, ""target_ok"": false}",环氧-伯胺开环固化。,236.4553347258236,76.58172634755006,2.0244436264038086,,False,target_out_of_window,rejected_by_harness,"Imported from scored proposal eval; source_context=sparse_target_replacement_expansion_target_250; surrogate evidence only, not real DSC.",True,True,True,True,True,13.544665274176396,False,True,False,0.06660783572450842,True
