approval_id,request_id,process_record_id,linked_observation_id,approval_decision,process_ready,reviewer_approved,reviewer_id,review_date,review_notes,target_tg_c,surrogate_tg_c,candidate_origin,reaction_principle,process_template,suggested_inputs,risk_flags,evidence_level,smiles,ratios
approval_validation_001_process_completion,validation_001_process_completion,review_queue_0007,sparse_target_replacement_250_0204,,False,False,,,,250.0,249.96571728997148,sparse_target_replacement_250,epoxy_hydroxyl,epoxy_anhydride_catalyzed_cure,catalyst_loading=0.5-2.0 wt% tertiary amine or imidazole; verify equivalent basis;cure_temperature_c=170.0;post_cure_temperature_c=230.0,high_tg_process_window;high_predictor_sigma;sparse_target_candidate_origin;catalyst_sensitive_template,knowledge_template_suggestion_not_observation,CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1|COc1cc(COCC2CO2)cc(-c2cc(COCC3CO3)cc(OC)c2OCC2CO2)c1OCC1CO1,0.95000:0.05000
approval_validation_011_process_completion,validation_011_process_completion,review_queue_0014,surrogate_round_3,,False,False,,,,195.0,195.0590323055354,pievo_latent_local_search_selected,epoxy_secondary_amine,epoxy_amine_thermal_cure,mix_temperature_c=60.0;cure_temperature_c=120.0;cure_time_h=2.0;post_cure_temperature_c=180.0;post_cure_time_h=2.0,standard_human_review,knowledge_template_suggestion_not_observation,COC(=O)c1cc(CCc2ccc(OC)cc2OC)ccc1O|Cn1cc(C2=C(c3coc4ccccc34)C(=O)NC2=O)c2ccc(O)cc21|O=C(NCc1ccc(S(=O)(=O)O)cc1)C(CS)Cc1ccccc1|c1cc(N(CC2CO2)CC2CO2)ccc1Cc1ccc(N(CC2CO2)CC2CO2)cc1,0.06645:0.18729:0.16791:0.57835
approval_validation_002_process_completion,validation_002_process_completion,review_queue_0011,sparse_target_replacement_250_0058,,False,False,,,,250.0,249.88881937114007,sparse_target_replacement_250,anhydride_hydroxyl,anhydride_amine_imidization,solvent=dry NMP or DMAc; verify monomer solubility before scale-up;imidization_temperature_c=220.0;imidization_time_h=2.0,high_tg_process_window;high_predictor_sigma;sparse_target_candidate_origin;solvent_and_imidization_sensitive_template,knowledge_template_suggestion_not_observation,O=C1OC(=O)c2cc(Cc3ccc4c(c3)C(=O)OC4=O)ccc21|O=c1cc(-c2ccc3c(c2)CN(Cc2ccco2)CO3)c2c3c(c(O)cc2o1)CN(Cc1ccco1)CO3,0.60000:0.40000
approval_validation_009_process_completion,validation_009_process_completion,review_queue_0005,surrogate_round_2,,False,False,,,,195.0,195.11905729703824,pievo_latent_local_search_selected,epoxy_primary_amine,epoxy_amine_thermal_cure,mix_temperature_c=60.0;cure_temperature_c=120.0;cure_time_h=2.0;post_cure_temperature_c=180.0;post_cure_time_h=2.0,standard_human_review,knowledge_template_suggestion_not_observation,COc1cc(/C=N/c2ccc(OCC3CO3)cc2)ccc1OCC1CO1|NCCNCCN|c1ccc(C(c2ccc(OCC3CO3)cc2)c2ccc(OCC3CO3)cc2)cc1,0.38304:0.53431:0.08265
approval_validation_003_process_completion,validation_003_process_completion,review_queue_0008,sparse_target_replacement_250_0215,,False,False,,,,250.0,250.5543530246221,sparse_target_replacement_250,anhydride_hydroxyl,anhydride_amine_imidization,solvent=dry NMP or DMAc; verify monomer solubility before scale-up;imidization_temperature_c=220.0;imidization_time_h=2.0,high_tg_process_window;sparse_target_candidate_origin;solvent_and_imidization_sensitive_template,knowledge_template_suggestion_not_observation,CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1|O=C(c1ccc2c(c1)C(=O)OC2=O)c1ccc2c(c1)C(=O)OC2=O,0.45000:0.55000
approval_validation_006_process_completion,validation_006_process_completion,review_queue_0016,sparse_target_replacement_250_0035,,False,False,,,,250.0,249.6163776184917,sparse_target_replacement_250,epoxy_primary_amine,epoxy_amine_thermal_cure,mix_temperature_c=60.0;cure_temperature_c=140.0;cure_time_h=2.0;post_cure_temperature_c=220.0;post_cure_time_h=2.0,high_tg_process_window;sparse_target_candidate_origin,knowledge_template_suggestion_not_observation,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|Nc1cccc(Oc2cccc(Oc3cccc(N)c3)c2)c1,0.20000:0.80000
approval_validation_008_process_completion,validation_008_process_completion,review_queue_0018,sparse_target_replacement_250_0008,,False,False,,,,250.0,249.4053290851912,sparse_target_replacement_250,epoxy_primary_amine,epoxy_amine_thermal_cure,mix_temperature_c=60.0;cure_temperature_c=140.0;cure_time_h=2.0;post_cure_temperature_c=220.0;post_cure_time_h=2.0,high_tg_process_window;sparse_target_candidate_origin,knowledge_template_suggestion_not_observation,COc1ccc(OCC2CO2)c(CCCC(=O)OCCCCOC(=O)CCc2ccc(OCC3CO3)c(OC)c2)c1|Nc1ccc(-c2nc3ccc(N)cc3[nH]2)cc1,0.25000:0.75000
approval_validation_007_process_completion,validation_007_process_completion,review_queue_0019,sparse_target_replacement_250_0277,,False,False,,,,250.0,250.7669903376895,sparse_target_replacement_250,epoxy_anhydride,epoxy_anhydride_catalyzed_cure,catalyst_loading=0.5-2.0 wt% tertiary amine or imidazole; verify equivalent basis;cure_temperature_c=170.0;post_cure_temperature_c=230.0,high_tg_process_window;high_predictor_sigma;sparse_target_candidate_origin;catalyst_sensitive_template,knowledge_template_suggestion_not_observation,COc1cc(CC2CO2)ccc1OP(=O)(Oc1ccc(CC2CO2)cc1OC)Oc1ccc(CC2CO2)cc1OC|O=C1OC(=O)c2cc(Cc3ccc4c(c3)C(=O)OC4=O)ccc21,0.05000:0.95000
approval_validation_010_process_completion,validation_010_process_completion,review_queue_0020,sparse_target_replacement_250_0182,,False,False,,,,250.0,250.85196239366724,sparse_target_replacement_250,epoxy_anhydride,epoxy_anhydride_catalyzed_cure,catalyst_loading=0.5-2.0 wt% tertiary amine or imidazole; verify equivalent basis;cure_temperature_c=170.0;post_cure_temperature_c=230.0,high_tg_process_window;high_predictor_sigma;sparse_target_candidate_origin;catalyst_sensitive_template,knowledge_template_suggestion_not_observation,COc1cc(COCC2CO2)cc(-c2cc(COCC3CO3)cc(OC)c2OCC2CO2)c1OCC1CO1|O=C1OC(=O)c2cc(Cc3ccc4c(c3)C(=O)OC4=O)ccc21,0.05000:0.95000
approval_validation_014_process_completion,validation_014_process_completion,review_queue_0015,vae_latent_local_search_0063,,False,False,,,,195.0,195.4722136422204,vae_latent_local_search,maleimide_amine,maleimide_addition_or_copolymerization,cure_temperature_c=160.0;co_reactant_stoichiometry=1:1 functional equivalent starting point;post_cure_temperature_c=220.0,standard_human_review,knowledge_template_suggestion_not_observation,Nc1ccc(-c2ccc(N)cc2)cc1|O=C1C=CC(=O)N1c1ccccc1N1C(=O)C=CC1=O,0.55000:0.45000
