generation_id,strategy,stage,target_tg_c,target_window_c,candidate_smiles,candidate_ratios,source_context,generator_id,generation_time,prompt_id,prompt_text,prompt_hash,rag_query,rag_context_refs,rag_context_digest,principle_hypothesis,functional_group_plan,candidate_json,compatibility_reasons,predicted_tg_mean_c,predicted_tg_sigma_c,ood_penalty,pievo_round,selected_by_ids,harness_failure_reason,review_status,notes
diffusion_flow_dry_run_19c0346deafd,diffusion_or_flow_matching,harnessed,195.0,5.0,Nc1ccc(-c2ccc(N)c(C(F)(F)F)c2)c(C(F)(F)F)c1|Cc1ccc(N=C=O)cc1N=C=O,0.65000:0.35000,diffusion_flow_seed_table_dry_run,diffusion_or_flow_matching:conditional_seed_replay_v1,2026-06-06,diffusion_flow_candidate_generator_dry_run_v1,"Diffusion/flow dry-run candidate generation.
Target Tg condition: 195.0 C
Target window: +/-5.0 C
Use a validated diffusion/flow seed-table prototype; preserve auditability and re-run Harness.
Source seed generation id: prompt_rag_selected_001
Source seed strategy: llm_rag_principle_generation",1ef3f7b0cd775140,,artifacts/trail/generation/prompt_records/generation_record_ledger.csv,Validated diffusion/flow seed-table row replayed under a target Tg condition.,Conditional diffusion/flow should learn the validated target-window formulation manifold before proposing off-manifold candidates.,,"{""dry_run_mode"": ""conditional_seed_replay_not_weight_update"", ""source_generation_reward"": 0.9993641519636244, ""source_ledger"": ""artifacts/trail/generation/prompt_records/generation_record_ledger.csv"", ""source_seed_generation_id"": ""prompt_rag_selected_001"", ""source_seed_index"": 1, ""source_seed_split"": ""train"", ""source_seed_strategy"": ""llm_rag_principle_generation"", ""source_target_distance_c"": 0.003180251367354, ""source_target_tg_c"": 195.0, ""target_condition_delta_c"": 0.0}",异氰酸酯-伯胺形成聚脲。,194.99681974863265,0.0,0.0,,False,,needs_review,Diffusion/flow dry-run replay of a validated seed-table row; not a neural diffusion or flow-matching weight update and not real DSC.
diffusion_flow_dry_run_efbf7841fd1f,diffusion_or_flow_matching,harnessed,195.0,5.0,C=CC(=O)OCCOCCOc1ccccc1|O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,0.30000:0.70000,diffusion_flow_seed_table_dry_run,diffusion_or_flow_matching:conditional_seed_replay_v1,2026-06-06,diffusion_flow_candidate_generator_dry_run_v1,"Diffusion/flow dry-run candidate generation.
Target Tg condition: 195.0 C
Target window: +/-5.0 C
Use a validated diffusion/flow seed-table prototype; preserve auditability and re-run Harness.
Source seed generation id: prompt_rag_selected_002
Source seed strategy: llm_rag_principle_generation",561f34f1bcb1702a,,artifacts/trail/generation/prompt_records/generation_record_ledger.csv,Validated diffusion/flow seed-table row replayed under a target Tg condition.,Conditional diffusion/flow should learn the validated target-window formulation manifold before proposing off-manifold candidates.,,"{""dry_run_mode"": ""conditional_seed_replay_not_weight_update"", ""source_generation_reward"": 0.9989274826690828, ""source_ledger"": ""artifacts/trail/generation/prompt_records/generation_record_ledger.csv"", ""source_seed_generation_id"": ""prompt_rag_selected_002"", ""source_seed_index"": 3, ""source_seed_split"": ""train"", ""source_seed_strategy"": ""llm_rag_principle_generation"", ""source_target_distance_c"": 0.0053654644459868, ""source_target_tg_c"": 195.0, ""target_condition_delta_c"": 0.0}",马来酰亚胺与烯基共聚/加成。,195.005365464446,0.0,0.0,,False,,needs_review,Diffusion/flow dry-run replay of a validated seed-table row; not a neural diffusion or flow-matching weight update and not real DSC.
diffusion_flow_dry_run_5c6382565ca2,diffusion_or_flow_matching,harnessed,195.0,5.0,C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1|CC1(C)CC(CN)CC(C)(N)C1,0.70000:0.30000,diffusion_flow_seed_table_dry_run,diffusion_or_flow_matching:conditional_seed_replay_v1,2026-06-06,diffusion_flow_candidate_generator_dry_run_v1,"Diffusion/flow dry-run candidate generation.
Target Tg condition: 195.0 C
Target window: +/-5.0 C
Use a validated diffusion/flow seed-table prototype; preserve auditability and re-run Harness.
Source seed generation id: rule_template_15dac2dafc43
Source seed strategy: rule_template",2477d8c7e721def8,,artifacts/trail/generation/rule_template_records/generation_record_ledger.csv,Validated diffusion/flow seed-table row replayed under a target Tg condition.,Conditional diffusion/flow should learn the validated target-window formulation manifold before proposing off-manifold candidates.,,"{""dry_run_mode"": ""conditional_seed_replay_not_weight_update"", ""source_generation_reward"": 0.9985049193439848, ""source_ledger"": ""artifacts/trail/generation/rule_template_records/generation_record_ledger.csv"", ""source_seed_generation_id"": ""rule_template_15dac2dafc43"", ""source_seed_index"": 5, ""source_seed_split"": ""train"", ""source_seed_strategy"": ""rule_template"", ""source_target_distance_c"": 0.0074809970215881, ""source_target_tg_c"": 195.0, ""target_condition_delta_c"": 0.0}",环氧-伯胺开环固化。,195.0074809970216,0.0,0.0,,False,,needs_review,Diffusion/flow dry-run replay of a validated seed-table row; not a neural diffusion or flow-matching weight update and not real DSC.
diffusion_flow_dry_run_f321cc75978f,diffusion_or_flow_matching,harnessed,195.0,5.0,Cc1cc(-c2cc(C)c(OCC3CO3)c(C)c2)c(C)cc1OCC1CO1|OCCOCCO,0.35000:0.65000,diffusion_flow_seed_table_dry_run,diffusion_or_flow_matching:conditional_seed_replay_v1,2026-06-06,diffusion_flow_candidate_generator_dry_run_v1,"Diffusion/flow dry-run candidate generation.
Target Tg condition: 195.0 C
Target window: +/-5.0 C
Use a validated diffusion/flow seed-table prototype; preserve auditability and re-run Harness.
Source seed generation id: rule_template_7f6518b6034f
Source seed strategy: rule_template",e90af4f6781c5954,,artifacts/trail/generation/rule_template_records/generation_record_ledger.csv,Validated diffusion/flow seed-table row replayed under a target Tg condition.,Conditional diffusion/flow should learn the validated target-window formulation manifold before proposing off-manifold candidates.,,"{""dry_run_mode"": ""conditional_seed_replay_not_weight_update"", ""source_generation_reward"": 0.9960782388282092, ""source_ledger"": ""artifacts/trail/generation/rule_template_records/generation_record_ledger.csv"", ""source_seed_generation_id"": ""rule_template_7f6518b6034f"", ""source_seed_index"": 6, ""source_seed_split"": ""train"", ""source_seed_strategy"": ""rule_template"", ""source_target_distance_c"": 0.0196473572114825, ""source_target_tg_c"": 195.0, ""target_condition_delta_c"": 0.0}",环氧-羟基醚化，常需催化剂。,195.01964735721148,0.0,0.0,,False,,needs_review,Diffusion/flow dry-run replay of a validated seed-table row; not a neural diffusion or flow-matching weight update and not real DSC.
diffusion_flow_dry_run_b39aab26a646,diffusion_or_flow_matching,harnessed,195.0,5.0,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1|CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1,0.80000:0.20000,diffusion_flow_seed_table_dry_run,diffusion_or_flow_matching:conditional_seed_replay_v1,2026-06-06,diffusion_flow_candidate_generator_dry_run_v1,"Diffusion/flow dry-run candidate generation.
Target Tg condition: 195.0 C
Target window: +/-5.0 C
Use a validated diffusion/flow seed-table prototype; preserve auditability and re-run Harness.
Source seed generation id: rule_template_27fddd713fb8
Source seed strategy: rule_template",5596b5885681d180,,artifacts/trail/generation/rule_template_records/generation_record_ledger.csv,Validated diffusion/flow seed-table row replayed under a target Tg condition.,Conditional diffusion/flow should learn the validated target-window formulation manifold before proposing off-manifold candidates.,,"{""dry_run_mode"": ""conditional_seed_replay_not_weight_update"", ""source_generation_reward"": 0.9955169500807116, ""source_ledger"": ""artifacts/trail/generation/rule_template_records/generation_record_ledger.csv"", ""source_seed_generation_id"": ""rule_template_27fddd713fb8"", ""source_seed_index"": 7, ""source_seed_split"": ""train"", ""source_seed_strategy"": ""rule_template"", ""source_target_distance_c"": 0.0224656446098663, ""source_target_tg_c"": 195.0, ""target_condition_delta_c"": 0.0}",氰酸酯-胺共反应。,195.02246564460987,0.0,0.0,,False,,needs_review,Diffusion/flow dry-run replay of a validated seed-table row; not a neural diffusion or flow-matching weight update and not real DSC.
diffusion_flow_dry_run_5e894eb77cf3,diffusion_or_flow_matching,harnessed,195.0,5.0,CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1|Nc1ccc(-c2ccc(N)cc2)cc1,0.45000:0.55000,diffusion_flow_seed_table_dry_run,diffusion_or_flow_matching:conditional_seed_replay_v1,2026-06-06,diffusion_flow_candidate_generator_dry_run_v1,"Diffusion/flow dry-run candidate generation.
Target Tg condition: 195.0 C
Target window: +/-5.0 C
Use a validated diffusion/flow seed-table prototype; preserve auditability and re-run Harness.
Source seed generation id: rule_template_bc968c5a3adf
Source seed strategy: rule_template",cd1904aad456df4a,,artifacts/trail/generation/rule_template_records/generation_record_ledger.csv,Validated diffusion/flow seed-table row replayed under a target Tg condition.,Conditional diffusion/flow should learn the validated target-window formulation manifold before proposing off-manifold candidates.,,"{""dry_run_mode"": ""conditional_seed_replay_not_weight_update"", ""source_generation_reward"": 0.99438964264005, ""source_ledger"": ""artifacts/trail/generation/rule_template_records/generation_record_ledger.csv"", ""source_seed_generation_id"": ""rule_template_bc968c5a3adf"", ""source_seed_index"": 8, ""source_seed_split"": ""train"", ""source_seed_strategy"": ""rule_template"", ""source_target_distance_c"": 0.0281307726384056, ""source_target_tg_c"": 195.0, ""target_condition_delta_c"": 0.0}",氰酸酯-胺共反应。,194.9718692273616,0.0,0.0,,False,,needs_review,Diffusion/flow dry-run replay of a validated seed-table row; not a neural diffusion or flow-matching weight update and not real DSC.
diffusion_flow_dry_run_2bb0d9b77a15,diffusion_or_flow_matching,harnessed,195.0,5.0,CCC(CO)(CO)CO|O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,0.40000:0.60000,diffusion_flow_seed_table_dry_run,diffusion_or_flow_matching:conditional_seed_replay_v1,2026-06-06,diffusion_flow_candidate_generator_dry_run_v1,"Diffusion/flow dry-run candidate generation.
Target Tg condition: 195.0 C
Target window: +/-5.0 C
Use a validated diffusion/flow seed-table prototype; preserve auditability and re-run Harness.
Source seed generation id: rule_template_f00e29deae6a
Source seed strategy: rule_template",556e668a5d31625d,,artifacts/trail/generation/rule_template_records/generation_record_ledger.csv,Validated diffusion/flow seed-table row replayed under a target Tg condition.,Conditional diffusion/flow should learn the validated target-window formulation manifold before proposing off-manifold candidates.,,"{""dry_run_mode"": ""conditional_seed_replay_not_weight_update"", ""source_generation_reward"": 0.9943609806766394, ""source_ledger"": ""artifacts/trail/generation/rule_template_records/generation_record_ledger.csv"", ""source_seed_generation_id"": ""rule_template_f00e29deae6a"", ""source_seed_index"": 9, ""source_seed_split"": ""train"", ""source_seed_strategy"": ""rule_template"", ""source_target_distance_c"": 0.0282748930880814, ""source_target_tg_c"": 195.0, ""target_condition_delta_c"": 0.0}",酸酐-羟基酯化。,194.97172510691192,0.0,0.0,,False,,needs_review,Diffusion/flow dry-run replay of a validated seed-table row; not a neural diffusion or flow-matching weight update and not real DSC.
diffusion_flow_dry_run_065467907b11,diffusion_or_flow_matching,harnessed,195.0,5.0,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1|O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,0.45000:0.55000,diffusion_flow_seed_table_dry_run,diffusion_or_flow_matching:conditional_seed_replay_v1,2026-06-06,diffusion_flow_candidate_generator_dry_run_v1,"Diffusion/flow dry-run candidate generation.
Target Tg condition: 195.0 C
Target window: +/-5.0 C
Use a validated diffusion/flow seed-table prototype; preserve auditability and re-run Harness.
Source seed generation id: rule_template_4baa0ddb8586
Source seed strategy: rule_template",4cbe2def96a1ed22,,artifacts/trail/generation/rule_template_records/generation_record_ledger.csv,Validated diffusion/flow seed-table row replayed under a target Tg condition.,Conditional diffusion/flow should learn the validated target-window formulation manifold before proposing off-manifold candidates.,,"{""dry_run_mode"": ""conditional_seed_replay_not_weight_update"", ""source_generation_reward"": 0.9941423269712472, ""source_ledger"": ""artifacts/trail/generation/rule_template_records/generation_record_ledger.csv"", ""source_seed_generation_id"": ""rule_template_4baa0ddb8586"", ""source_seed_index"": 10, ""source_seed_split"": ""train"", ""source_seed_strategy"": ""rule_template"", ""source_target_distance_c"": 0.0293744824396924, ""source_target_tg_c"": 195.0, ""target_condition_delta_c"": 0.0}",酸酐-胺形成聚酰胺酸/聚酰亚胺前体。,194.9706255175603,0.0,0.0,,False,,needs_review,Diffusion/flow dry-run replay of a validated seed-table row; not a neural diffusion or flow-matching weight update and not real DSC.
diffusion_flow_dry_run_74ab98f40ef8,diffusion_or_flow_matching,harnessed,195.0,5.0,Nc1ccc(Cc2ccc(N)cc2)cc1|COc1ccc(OCC2CO2)c(CCC(=O)OCCCCOC(=O)CCc2ccc(OCC3CO3)c(OC)c2)c1,0.80000:0.20000,diffusion_flow_seed_table_dry_run,diffusion_or_flow_matching:conditional_seed_replay_v1,2026-06-06,diffusion_flow_candidate_generator_dry_run_v1,"Diffusion/flow dry-run candidate generation.
Target Tg condition: 195.0 C
Target window: +/-5.0 C
Use a validated diffusion/flow seed-table prototype; preserve auditability and re-run Harness.
Source seed generation id: rule_template_bbb72431693e
Source seed strategy: rule_template",1ace34f3e431fe8d,,artifacts/trail/generation/rule_template_records/generation_record_ledger.csv,Validated diffusion/flow seed-table row replayed under a target Tg condition.,Conditional diffusion/flow should learn the validated target-window formulation manifold before proposing off-manifold candidates.,,"{""dry_run_mode"": ""conditional_seed_replay_not_weight_update"", ""source_generation_reward"": 0.9936389925135284, ""source_ledger"": ""artifacts/trail/generation/rule_template_records/generation_record_ledger.csv"", ""source_seed_generation_id"": ""rule_template_bbb72431693e"", ""source_seed_index"": 11, ""source_seed_split"": ""train"", ""source_seed_strategy"": ""rule_template"", ""source_target_distance_c"": 0.0319066244994985, ""source_target_tg_c"": 195.0, ""target_condition_delta_c"": 0.0}",环氧-伯胺开环固化。,194.9680933755005,0.0,0.0,,False,,needs_review,Diffusion/flow dry-run replay of a validated seed-table row; not a neural diffusion or flow-matching weight update and not real DSC.
diffusion_flow_dry_run_151cfaf52f1f,diffusion_or_flow_matching,harnessed,195.0,5.0,Cc1cc(-c2cc(C)c(OCC3CO3)c(C)c2)c(C)cc1OCC1CO1|Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,0.35000:0.65000,diffusion_flow_seed_table_dry_run,diffusion_or_flow_matching:conditional_seed_replay_v1,2026-06-06,diffusion_flow_candidate_generator_dry_run_v1,"Diffusion/flow dry-run candidate generation.
Target Tg condition: 195.0 C
Target window: +/-5.0 C
Use a validated diffusion/flow seed-table prototype; preserve auditability and re-run Harness.
Source seed generation id: rule_template_d0bf010b117f
Source seed strategy: rule_template",20ee5c4b0ff0a592,,artifacts/trail/generation/rule_template_records/generation_record_ledger.csv,Validated diffusion/flow seed-table row replayed under a target Tg condition.,Conditional diffusion/flow should learn the validated target-window formulation manifold before proposing off-manifold candidates.,,"{""dry_run_mode"": ""conditional_seed_replay_not_weight_update"", ""source_generation_reward"": 0.9933153315628312, ""source_ledger"": ""artifacts/trail/generation/rule_template_records/generation_record_ledger.csv"", ""source_seed_generation_id"": ""rule_template_d0bf010b117f"", ""source_seed_index"": 12, ""source_seed_split"": ""train"", ""source_seed_strategy"": ""rule_template"", ""source_target_distance_c"": 0.0335355545138327, ""source_target_tg_c"": 195.0, ""target_condition_delta_c"": 0.0}",环氧-伯胺开环固化。,195.03353555451383,0.0,0.0,,False,,needs_review,Diffusion/flow dry-run replay of a validated seed-table row; not a neural diffusion or flow-matching weight update and not real DSC.
