generation_id,strategy,stage,target_tg_c,target_window_c,candidate_smiles,candidate_ratios,source_context,generator_id,generation_time,prompt_id,prompt_text,prompt_hash,rag_query,rag_context_refs,rag_context_digest,principle_hypothesis,functional_group_plan,candidate_json,compatibility_reasons,predicted_tg_mean_c,predicted_tg_sigma_c,ood_penalty,pievo_round,selected_by_ids,harness_failure_reason,review_status,notes
sft_dry_run_86a0a7c916d5,sft_candidate_generator,harnessed,195.0,5.0,Nc1ccc(-c2ccc(N)c(C(F)(F)F)c2)c(C(F)(F)F)c1|Cc1ccc(N=C=O)cc1N=C=O,0.65000:0.35000,sft_generation_record_jsonl_dry_run,sft_candidate_generator:prototype_replay_v1,2026-06-06,sft_candidate_generator_dry_run_v1,"SFT dry-run candidate generation.
Target Tg: 195.0 C
Target window: +/-5.0 C
Use a validated train-split generation_record prototype; preserve auditability and re-run Harness.
Source SFT generation id: prompt_rag_selected_001
Source strategy: llm_rag_principle_generation",2ddf2688c32c919e,,trail/knowledge/smp_prior_knowledge.yaml:0|docs/generation_strategy_and_harness.md:31|docs/generation_strategy_and_harness.md:43|docs/smp_knowledge_base_and_ontology.md:22,materials_domain: thermoset_shape_memory_polymers representation_scope:   current: single_small_molecule_smiles_or_molecode   deferred:     - commodity_grade_component_mixture      || - 120 条 replacement proposals 输入。 - 107 条可重建为完整双组分配方并完成 VAE-WVCM-GPR 预测。 - 10 条通过 Harness。 - `scripts/evaluate_replacement_proposals.py` 默认使用 CPU deterministic VAE encoding，避免 CUDA || - `generation_id / strategy / stage / target_tg_c / target_window_c` - `candidate_smiles / candidate_ratios` - `prompt_id / prompt_text / prompt_hash` - `rag_query / rag_context_re || - `epoxy_amine_thermal_cure` - `epoxy_anhydride_catalyzed_cure` - `anhydride_amine_imidization` - `isocyanate_urethane_urea` - `radical_vinyl_cure` - `thiol_click_cure` - `cyanate_,Rigid aromatic compatible functional groups should keep the target window reachable.,aromatic;primary_amine + aromatic;isocyanate,"{""dry_run_mode"": ""prototype_replay_not_weight_update"", ""source_candidate_json"": {""ratios"": [""0.65000"", ""0.35000""], ""smiles"": [""Nc1ccc(-c2ccc(N)c(C(F)(F)F)c2)c(C(F)(F)F)c1"", ""Cc1ccc(N=C=O)cc1N=C=O""]}, ""source_generation_reward"": 0.9993641519636244, ""source_ledger"": ""artifacts/trail/generation/prompt_records/generation_record_ledger.csv"", ""source_line_number"": 2, ""source_sft_generation_id"": ""prompt_rag_selected_001"", ""source_strategy"": ""llm_rag_principle_generation"", ""source_target_distance_c"": 0.003180251367354}",异氰酸酯-伯胺形成聚脲。,194.99681974863265,0.0,0.0,,False,,needs_review,SFT dry-run replay of a validated train-split generation record; not a neural weight update or real DSC.
sft_dry_run_07c6ef6a265e,sft_candidate_generator,harnessed,195.0,5.0,C=CC(=O)OCCOCCOc1ccccc1|O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,0.30000:0.70000,sft_generation_record_jsonl_dry_run,sft_candidate_generator:prototype_replay_v1,2026-06-06,sft_candidate_generator_dry_run_v1,"SFT dry-run candidate generation.
Target Tg: 195.0 C
Target window: +/-5.0 C
Use a validated train-split generation_record prototype; preserve auditability and re-run Harness.
Source SFT generation id: prompt_rag_selected_002
Source strategy: llm_rag_principle_generation",f596c231a6d6927f,,trail/knowledge/smp_prior_knowledge.yaml:0|docs/generation_strategy_and_harness.md:31|docs/generation_strategy_and_harness.md:43|docs/smp_knowledge_base_and_ontology.md:22,materials_domain: thermoset_shape_memory_polymers representation_scope:   current: single_small_molecule_smiles_or_molecode   deferred:     - commodity_grade_component_mixture      || - 120 条 replacement proposals 输入。 - 107 条可重建为完整双组分配方并完成 VAE-WVCM-GPR 预测。 - 10 条通过 Harness。 - `scripts/evaluate_replacement_proposals.py` 默认使用 CPU deterministic VAE encoding，避免 CUDA || - `generation_id / strategy / stage / target_tg_c / target_window_c` - `candidate_smiles / candidate_ratios` - `prompt_id / prompt_text / prompt_hash` - `rag_query / rag_context_re || - `epoxy_amine_thermal_cure` - `epoxy_anhydride_catalyzed_cure` - `anhydride_amine_imidization` - `isocyanate_urethane_urea` - `radical_vinyl_cure` - `thiol_click_cure` - `cyanate_,Rigid aromatic compatible functional groups should keep the target window reachable.,aromatic;ester;ether;vinyl + aromatic;imide;maleimide;vinyl,"{""dry_run_mode"": ""prototype_replay_not_weight_update"", ""source_candidate_json"": {""ratios"": [""0.30000"", ""0.70000""], ""smiles"": [""C=CC(=O)OCCOCCOc1ccccc1"", ""O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O""]}, ""source_generation_reward"": 0.9989274826690828, ""source_ledger"": ""artifacts/trail/generation/prompt_records/generation_record_ledger.csv"", ""source_line_number"": 4, ""source_sft_generation_id"": ""prompt_rag_selected_002"", ""source_strategy"": ""llm_rag_principle_generation"", ""source_target_distance_c"": 0.0053654644459868}",马来酰亚胺与烯基共聚/加成。,195.005365464446,0.0,0.0,,False,,needs_review,SFT dry-run replay of a validated train-split generation record; not a neural weight update or real DSC.
sft_dry_run_6b30855abe42,sft_candidate_generator,harnessed,195.0,5.0,C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1|CC1(C)CC(CN)CC(C)(N)C1,0.70000:0.30000,sft_generation_record_jsonl_dry_run,sft_candidate_generator:prototype_replay_v1,2026-06-06,sft_candidate_generator_dry_run_v1,"SFT dry-run candidate generation.
Target Tg: 195.0 C
Target window: +/-5.0 C
Use a validated train-split generation_record prototype; preserve auditability and re-run Harness.
Source SFT generation id: rule_template_15dac2dafc43
Source strategy: rule_template",258a21ee7cab2a0d,,artifacts/reproduce/discovery/selected_candidates.csv|trail/harness/constraints.py,Rule-template candidate-space enumeration with functional-group compatibility and target-window filtering.,Rule-template compatible functional-group enumeration can seed validated target-window formulations.,aromatic;epoxy;ether;vinyl + primary_amine,"{""dry_run_mode"": ""prototype_replay_not_weight_update"", ""source_candidate_json"": {""groups_a"": ""aromatic;epoxy;ether;vinyl"", ""groups_b"": ""primary_amine"", ""in_target_range"": true, ""ratio_a"": 0.7, ""ratio_b"": 0.3, ""smiles_a"": ""C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1"", ""smiles_b"": ""CC1(C)CC(CN)CC(C)(N)C1"", ""source_row_index"": 3, ""source_target_distance_c"": 0.0074809970215881}, ""source_generation_reward"": 0.9985049193439848, ""source_ledger"": ""artifacts/trail/generation/rule_template_records/generation_record_ledger.csv"", ""source_line_number"": 6, ""source_sft_generation_id"": ""rule_template_15dac2dafc43"", ""source_strategy"": ""rule_template"", ""source_target_distance_c"": 0.0074809970215881}",环氧-伯胺开环固化。,195.0074809970216,0.0,0.0,,False,,needs_review,SFT dry-run replay of a validated train-split generation record; not a neural weight update or real DSC.
sft_dry_run_e011ce1d895a,sft_candidate_generator,harnessed,195.0,5.0,Cc1cc(-c2cc(C)c(OCC3CO3)c(C)c2)c(C)cc1OCC1CO1|OCCOCCO,0.35000:0.65000,sft_generation_record_jsonl_dry_run,sft_candidate_generator:prototype_replay_v1,2026-06-06,sft_candidate_generator_dry_run_v1,"SFT dry-run candidate generation.
Target Tg: 195.0 C
Target window: +/-5.0 C
Use a validated train-split generation_record prototype; preserve auditability and re-run Harness.
Source SFT generation id: rule_template_7f6518b6034f
Source strategy: rule_template",c6da0e6b8ed6f25c,,artifacts/reproduce/discovery/selected_candidates.csv|trail/harness/constraints.py,Rule-template candidate-space enumeration with functional-group compatibility and target-window filtering.,Rule-template compatible functional-group enumeration can seed validated target-window formulations.,aromatic;epoxy;ether + ether;hydroxyl,"{""dry_run_mode"": ""prototype_replay_not_weight_update"", ""source_candidate_json"": {""groups_a"": ""aromatic;epoxy;ether"", ""groups_b"": ""ether;hydroxyl"", ""in_target_range"": true, ""ratio_a"": 0.35, ""ratio_b"": 0.65, ""smiles_a"": ""Cc1cc(-c2cc(C)c(OCC3CO3)c(C)c2)c(C)cc1OCC1CO1"", ""smiles_b"": ""OCCOCCO"", ""source_row_index"": 4, ""source_target_distance_c"": 0.0196473572114825}, ""source_generation_reward"": 0.9960782388282092, ""source_ledger"": ""artifacts/trail/generation/rule_template_records/generation_record_ledger.csv"", ""source_line_number"": 7, ""source_sft_generation_id"": ""rule_template_7f6518b6034f"", ""source_strategy"": ""rule_template"", ""source_target_distance_c"": 0.0196473572114825}",环氧-羟基醚化，常需催化剂。,195.01964735721148,0.0,0.0,,False,,needs_review,SFT dry-run replay of a validated train-split generation record; not a neural weight update or real DSC.
sft_dry_run_4a2f47eb3c86,sft_candidate_generator,harnessed,195.0,5.0,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1|CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1,0.80000:0.20000,sft_generation_record_jsonl_dry_run,sft_candidate_generator:prototype_replay_v1,2026-06-06,sft_candidate_generator_dry_run_v1,"SFT dry-run candidate generation.
Target Tg: 195.0 C
Target window: +/-5.0 C
Use a validated train-split generation_record prototype; preserve auditability and re-run Harness.
Source SFT generation id: rule_template_27fddd713fb8
Source strategy: rule_template",b6ff3df6692ef55e,,artifacts/reproduce/discovery/selected_candidates.csv|trail/harness/constraints.py,Rule-template candidate-space enumeration with functional-group compatibility and target-window filtering.,Rule-template compatible functional-group enumeration can seed validated target-window formulations.,aromatic;ether;primary_amine + aromatic;cyanate_ester;ether;nitrile,"{""dry_run_mode"": ""prototype_replay_not_weight_update"", ""source_candidate_json"": {""groups_a"": ""aromatic;ether;primary_amine"", ""groups_b"": ""aromatic;cyanate_ester;ether;nitrile"", ""in_target_range"": true, ""ratio_a"": 0.8, ""ratio_b"": 0.1999999999999999, ""smiles_a"": ""Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1"", ""smiles_b"": ""CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1"", ""source_row_index"": 5, ""source_target_distance_c"": 0.0224656446098663}, ""source_generation_reward"": 0.9955169500807116, ""source_ledger"": ""artifacts/trail/generation/rule_template_records/generation_record_ledger.csv"", ""source_line_number"": 8, ""source_sft_generation_id"": ""rule_template_27fddd713fb8"", ""source_strategy"": ""rule_template"", ""source_target_distance_c"": 0.0224656446098663}",氰酸酯-胺共反应。,195.02246564460987,0.0,0.0,,False,,needs_review,SFT dry-run replay of a validated train-split generation record; not a neural weight update or real DSC.
sft_dry_run_121b0e53d2ea,sft_candidate_generator,harnessed,195.0,5.0,CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1|Nc1ccc(-c2ccc(N)cc2)cc1,0.45000:0.55000,sft_generation_record_jsonl_dry_run,sft_candidate_generator:prototype_replay_v1,2026-06-06,sft_candidate_generator_dry_run_v1,"SFT dry-run candidate generation.
Target Tg: 195.0 C
Target window: +/-5.0 C
Use a validated train-split generation_record prototype; preserve auditability and re-run Harness.
Source SFT generation id: rule_template_bc968c5a3adf
Source strategy: rule_template",0800300dabe53c1f,,artifacts/reproduce/discovery/selected_candidates.csv|trail/harness/constraints.py,Rule-template candidate-space enumeration with functional-group compatibility and target-window filtering.,Rule-template compatible functional-group enumeration can seed validated target-window formulations.,aromatic;cyanate_ester;ether;nitrile + aromatic;primary_amine,"{""dry_run_mode"": ""prototype_replay_not_weight_update"", ""source_candidate_json"": {""groups_a"": ""aromatic;cyanate_ester;ether;nitrile"", ""groups_b"": ""aromatic;primary_amine"", ""in_target_range"": true, ""ratio_a"": 0.45, ""ratio_b"": 0.55, ""smiles_a"": ""CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1"", ""smiles_b"": ""Nc1ccc(-c2ccc(N)cc2)cc1"", ""source_row_index"": 6, ""source_target_distance_c"": 0.0281307726383772}, ""source_generation_reward"": 0.99438964264005, ""source_ledger"": ""artifacts/trail/generation/rule_template_records/generation_record_ledger.csv"", ""source_line_number"": 9, ""source_sft_generation_id"": ""rule_template_bc968c5a3adf"", ""source_strategy"": ""rule_template"", ""source_target_distance_c"": 0.0281307726384056}",氰酸酯-胺共反应。,194.9718692273616,0.0,0.0,,False,,needs_review,SFT dry-run replay of a validated train-split generation record; not a neural weight update or real DSC.
sft_dry_run_be3c9daa0897,sft_candidate_generator,harnessed,195.0,5.0,CCC(CO)(CO)CO|O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,0.40000:0.60000,sft_generation_record_jsonl_dry_run,sft_candidate_generator:prototype_replay_v1,2026-06-06,sft_candidate_generator_dry_run_v1,"SFT dry-run candidate generation.
Target Tg: 195.0 C
Target window: +/-5.0 C
Use a validated train-split generation_record prototype; preserve auditability and re-run Harness.
Source SFT generation id: rule_template_f00e29deae6a
Source strategy: rule_template",6673623fd5bd175b,,artifacts/reproduce/discovery/selected_candidates.csv|trail/harness/constraints.py,Rule-template candidate-space enumeration with functional-group compatibility and target-window filtering.,Rule-template compatible functional-group enumeration can seed validated target-window formulations.,hydroxyl + anhydride;aromatic;ester;ether,"{""dry_run_mode"": ""prototype_replay_not_weight_update"", ""source_candidate_json"": {""groups_a"": ""hydroxyl"", ""groups_b"": ""anhydride;aromatic;ester;ether"", ""in_target_range"": true, ""ratio_a"": 0.4, ""ratio_b"": 0.6, ""smiles_a"": ""CCC(CO)(CO)CO"", ""smiles_b"": ""O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21"", ""source_row_index"": 7, ""source_target_distance_c"": 0.0282748930880814}, ""source_generation_reward"": 0.9943609806766394, ""source_ledger"": ""artifacts/trail/generation/rule_template_records/generation_record_ledger.csv"", ""source_line_number"": 10, ""source_sft_generation_id"": ""rule_template_f00e29deae6a"", ""source_strategy"": ""rule_template"", ""source_target_distance_c"": 0.0282748930880814}",酸酐-羟基酯化。,194.97172510691192,0.0,0.0,,False,,needs_review,SFT dry-run replay of a validated train-split generation record; not a neural weight update or real DSC.
sft_dry_run_c97922816a0c,sft_candidate_generator,harnessed,195.0,5.0,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1|O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,0.45000:0.55000,sft_generation_record_jsonl_dry_run,sft_candidate_generator:prototype_replay_v1,2026-06-06,sft_candidate_generator_dry_run_v1,"SFT dry-run candidate generation.
Target Tg: 195.0 C
Target window: +/-5.0 C
Use a validated train-split generation_record prototype; preserve auditability and re-run Harness.
Source SFT generation id: rule_template_4baa0ddb8586
Source strategy: rule_template",4c2b8d562cb80898,,artifacts/reproduce/discovery/selected_candidates.csv|trail/harness/constraints.py,Rule-template candidate-space enumeration with functional-group compatibility and target-window filtering.,Rule-template compatible functional-group enumeration can seed validated target-window formulations.,aromatic;ether;primary_amine + anhydride;aromatic;ester;ether,"{""dry_run_mode"": ""prototype_replay_not_weight_update"", ""source_candidate_json"": {""groups_a"": ""aromatic;ether;primary_amine"", ""groups_b"": ""anhydride;aromatic;ester;ether"", ""in_target_range"": true, ""ratio_a"": 0.45, ""ratio_b"": 0.55, ""smiles_a"": ""Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1"", ""smiles_b"": ""O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21"", ""source_row_index"": 8, ""source_target_distance_c"": 0.0293744824396924}, ""source_generation_reward"": 0.9941423269712472, ""source_ledger"": ""artifacts/trail/generation/rule_template_records/generation_record_ledger.csv"", ""source_line_number"": 11, ""source_sft_generation_id"": ""rule_template_4baa0ddb8586"", ""source_strategy"": ""rule_template"", ""source_target_distance_c"": 0.0293744824396924}",酸酐-胺形成聚酰胺酸/聚酰亚胺前体。,194.9706255175603,0.0,0.0,,False,,needs_review,SFT dry-run replay of a validated train-split generation record; not a neural weight update or real DSC.
sft_dry_run_5b4c560ee6d6,sft_candidate_generator,harnessed,195.0,5.0,Nc1ccc(Cc2ccc(N)cc2)cc1|COc1ccc(OCC2CO2)c(CCC(=O)OCCCCOC(=O)CCc2ccc(OCC3CO3)c(OC)c2)c1,0.80000:0.20000,sft_generation_record_jsonl_dry_run,sft_candidate_generator:prototype_replay_v1,2026-06-06,sft_candidate_generator_dry_run_v1,"SFT dry-run candidate generation.
Target Tg: 195.0 C
Target window: +/-5.0 C
Use a validated train-split generation_record prototype; preserve auditability and re-run Harness.
Source SFT generation id: rule_template_bbb72431693e
Source strategy: rule_template",83264aa3638e0010,,artifacts/reproduce/discovery/selected_candidates.csv|trail/harness/constraints.py,Rule-template candidate-space enumeration with functional-group compatibility and target-window filtering.,Rule-template compatible functional-group enumeration can seed validated target-window formulations.,aromatic;primary_amine + aromatic;epoxy;ester;ether,"{""dry_run_mode"": ""prototype_replay_not_weight_update"", ""source_candidate_json"": {""groups_a"": ""aromatic;primary_amine"", ""groups_b"": ""aromatic;epoxy;ester;ether"", ""in_target_range"": true, ""ratio_a"": 0.8, ""ratio_b"": 0.1999999999999999, ""smiles_a"": ""Nc1ccc(Cc2ccc(N)cc2)cc1"", ""smiles_b"": ""COc1ccc(OCC2CO2)c(CCC(=O)OCCCCOC(=O)CCc2ccc(OCC3CO3)c(OC)c2)c1"", ""source_row_index"": 9, ""source_target_distance_c"": 0.0319066244994985}, ""source_generation_reward"": 0.9936389925135284, ""source_ledger"": ""artifacts/trail/generation/rule_template_records/generation_record_ledger.csv"", ""source_line_number"": 12, ""source_sft_generation_id"": ""rule_template_bbb72431693e"", ""source_strategy"": ""rule_template"", ""source_target_distance_c"": 0.0319066244994985}",环氧-伯胺开环固化。,194.9680933755005,0.0,0.0,,False,,needs_review,SFT dry-run replay of a validated train-split generation record; not a neural weight update or real DSC.
sft_dry_run_5a7056e4a04d,sft_candidate_generator,harnessed,195.0,5.0,Cc1cc(-c2cc(C)c(OCC3CO3)c(C)c2)c(C)cc1OCC1CO1|Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,0.35000:0.65000,sft_generation_record_jsonl_dry_run,sft_candidate_generator:prototype_replay_v1,2026-06-06,sft_candidate_generator_dry_run_v1,"SFT dry-run candidate generation.
Target Tg: 195.0 C
Target window: +/-5.0 C
Use a validated train-split generation_record prototype; preserve auditability and re-run Harness.
Source SFT generation id: rule_template_d0bf010b117f
Source strategy: rule_template",b08e476f99c7fdad,,artifacts/reproduce/discovery/selected_candidates.csv|trail/harness/constraints.py,Rule-template candidate-space enumeration with functional-group compatibility and target-window filtering.,Rule-template compatible functional-group enumeration can seed validated target-window formulations.,aromatic;epoxy;ether + aromatic;ether;primary_amine,"{""dry_run_mode"": ""prototype_replay_not_weight_update"", ""source_candidate_json"": {""groups_a"": ""aromatic;epoxy;ether"", ""groups_b"": ""aromatic;ether;primary_amine"", ""in_target_range"": true, ""ratio_a"": 0.35, ""ratio_b"": 0.65, ""smiles_a"": ""Cc1cc(-c2cc(C)c(OCC3CO3)c(C)c2)c(C)cc1OCC1CO1"", ""smiles_b"": ""Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1"", ""source_row_index"": 10, ""source_target_distance_c"": 0.0335355545138327}, ""source_generation_reward"": 0.9933153315628312, ""source_ledger"": ""artifacts/trail/generation/rule_template_records/generation_record_ledger.csv"", ""source_line_number"": 13, ""source_sft_generation_id"": ""rule_template_d0bf010b117f"", ""source_strategy"": ""rule_template"", ""source_target_distance_c"": 0.0335355545138327}",环氧-伯胺开环固化。,195.03353555451383,0.0,0.0,,False,,needs_review,SFT dry-run replay of a validated train-split generation record; not a neural weight update or real DSC.
